"ID",Registrar Name,Status,RDAP Base URL
822,"Registrar Label, Inc.",Terminated,
823,"Internet Service Registrar, Inc.",Terminated,
825,"BP Holdings Group, Inc. dba IS.COM",Terminated,
826,"Name.net, Inc.",Accredited,https://namerdap.systems/
827,"Mouzz Interactive, Inc.",Terminated,
828,Hetzner Online GmbH,Accredited,https://rdap.your-server.de/
829,"Anytime Sites, LLC",Accredited,https://rdapserver.net/
830,"IPNIC, Inc.",Terminated,
831,"Crisp Names, LLC",Accredited,https://rdapserver.net/
832,"EstDomains, Inc.",Terminated,
833,"Dotted Ventures, Inc.",Terminated,
834,"Domain Jingles, Inc.",Terminated,
835,KuwaitNET General Trading Co.,Accredited,https://rdapserver.net/
836,The Namespace Group Pty Ltd,Accredited,https://rdapserver.net/
837,"Freeparking Domain Registrars, Inc.",Terminated,
838,BatDomains.com Ltd.,Terminated,
839,Realtime Register B.V.,Accredited,https://rdap.yoursrs.com/
840,Nicco Ltd.,Accredited,https://rdap.nicco.com/
841,Tiger Technologies LLC,Accredited,https://www.tigertech.net/rdap/
842,"SoftLayer Technologies, Inc.",Terminated,
